DATEPRD;WELL_BORE_CODE;NPD_WELL_BORE_CODE;NPD_WELL_BORE_NAME;NPD_FIELD_CODE;NPD_FIELD_NAME;NPD_FACILITY_CODE;NPD_FACILITY_NAME;ON_STREAM_HRS;AVG_DOWNHOLE_PRESSURE;AVG_DOWNHOLE_TEMPERATURE;AVG_DP_TUBING;AVG_ANNULUS_PRESS;AVG_CHOKE_SIZE_P;AVG_CHOKE_UOM;AVG_WHP_P;AVG_WHT_P;DP_CHOKE_SIZE;BORE_GAS_VOL;BORE_WAT_VOL;BORE_WI_VOL;FLOW_KIND;WELL_TYPE;BORE_OIL_VOL
20.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0                                                                                                                                                                                                                                                                                ,001;;%;0;0;30           ,316;0;0;;production;OP;0
21.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0                                                                                                                                                                                                                                                                                ,001;;%;0;0              ,001;30                  ,229;0;0;;production;OP;0
22.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0                                                                                                                                                                                                                                                                                ,003;;%;0;0              ,002;30                  ,395;0;0;;production;OP;0
23.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0                                                                                                                                                                                                                                                                                ,007;;%;0;0              ,007;30                  ,501;0;0;;production;OP;0
24.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0                                                                                                                                                                                                                                                                                ,01;;%;0;0               ,009;30                  ,51;0;0;;production;OP;0
25.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0                                                                                                                                                                                                                                                                                ,007;;%;0;0              ,008;30                  ,581;0;0;;production;OP;0
26.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0                                                                                                                                                                                                                                                                                ,002;;%;0;0              ,002;17                  ,857;0;0;;production;OP;0
27.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0                                                                                                                                                                                                                                                                                ,004;;%;0;0              ,003;1                   ,484;0;0;;production;OP;0
28.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0                                                                                                                                                                                                                                                                                ,002;;%;0;0              ,001;1                   ,137;0;0;;production;OP;0
29.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;26                                                                                                                                                                                                                                                                      ,06;0;0;;production;OP;0
30.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;0;%;0;0;21                                                                                                                                                                                                                                                                     ,266;0;0;;production;OP;0
31.03.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;3                                                                                                                                                                                                                                                                       ,2;0;0;;production;OP;0
01.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;30                                                                                                                                                                                                                                                                      ,421;0;0;;production;OP;0
02.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;30                                                                                                                                                                                                                                                                      ,706;0;0;;production;OP;0
03.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;30                                                                                                                                                                                                                                                                      ,683;0;0;;production;OP;0
04.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;30                                                                                                                                                                                                                                                                      ,71;0;0;;production;OP;0
05.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;30                                                                                                                                                                                                                                                                      ,816;0;0;;production;OP;0
06.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,579;0;0;;production;OP;0
07.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,378;0;0;;production;OP;0
08.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,394;0;0;;production;OP;0
